id,sentence_id,sentence,label
111.0,railway#59,"Many of the railway specific standards referenced are Pre-standards (eg [prEN 50155, ENV 50121, prEN 50125]) and should be re-examined for their applicability to the EIRENE system if any modifications are made to these standards in the future.",INNOCUOUS
112.0,railway#60,Each of the other cabs on the train will be contacted using its functional number (registered by the other drivers prior to the establishment of the call).,NOCUOUS
113.0,railway#61,"Upon registration, the mobile shall be accessible by calling the MSISDN or the Engine or Coach number with which it is associated.",INNOCUOUS
114.0,railway#62,The Cab radio system shall provide a means for the driver to terminate established calls which he is authorised to terminate.,INNOCUOUS
115.0,home#01,"The DigitalHome programmable Appliance Manager shall provide for management of a home’s small appliances, including lighting units, by allowing a user to turn them on or off as desired.",NOCUOUS
116.0,home#02,"Although the product produced under this document will be a “prototype” version, all modules and components of this prototype version shall be designed and implemented in such a manner that it may be incorporated in a fully specified commercial version of the DigitalHome System.",NOCUOUS
117.0,home#03,The DigitalHome System shall provide users with online documentation about the DigitalHome system installed in their home.,INNOCUOUS
118.0,space#01,"The FCP shall, if the NEFU ICP fails to send its ICP Ready signal, mask out that ICP, but continue to use the NE.16.",INNOCUOUS
119.0,space#02,"Each rate group has some number of tasks associated with it, and it also has a rate for those tasks.",INNOCUOUS
120.0,space#03,The enabled tasks are then unblocked at the rate given in its associated rate group.,NOCUOUS
121.0,space#04-1,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,NOCUOUS
122.0,space#04-2,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,NOCUOUS
123.0,space#04-3,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,NOCUOUS
124.0,space#05,There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it takes during the next minor frame 0 to switch tasking.,NOCUOUS
125.0,space#06,"The scheduler shall execute cyclic tasks, providing an API call to allow the application to block until its next iteration.",NOCUOUS
126.0,space#07,"The scheduler shall give tasks priority values according to their rate - the higher the rate, the higher the priority.",NOCUOUS
127.0,space#08,The scheduler shall provide a mechanism to inform a task when it did not complete during the previous frame and restart it at the beginning of the task.,NOCUOUS
128.0,space#09,All tasks in rate groups and their corresponding schedules for all vehicle modes will be setup at system initialization.,NOCUOUS
129.0,space#10,Tasks in a rate group must suspend on a scheduler API call at the top of their execution loop.,INNOCUOUS
130.0,space#11,"For hardware exceptions and reserved exceptions, the FTSS shall make the error type and its context data available to the application, then return from the exception handler to the task that was running when the exception occurred.",NOCUOUS
131.0,space#12,Messages are addressed with a global unique communication identifier that routes them to the appropriate virtual group (VG) and socket.,INNOCUOUS
132.0,space#13,This restriction does NOT apply to the ICPs since they are running as simplex VGs.,INNOCUOUS
133.0,space#14,The FTSS shall mask out a babbling NE or ICP within 40 milliseconds after it is detected.,NOCUOUS
134.0,space#15,Synchronous message passing sockets shall queue outgoing messages until they are transmitted at frame boundaries.,NOCUOUS
135.0,space#16,"""Pipes may be opened by multiple receiving tasks if they are created with the broadcast"" capability; otherwise they may only be opened by one receiving task.""",NOCUOUS
136.0,space#17,"""Communication services shall provide the capability to create pipe""s which ""broadcast"" their messages to all virtual groups.""",NOCUOUS
137.0,space#18,"If the broadcast option is used, each virtual group should open the pipe and read from it to avoid flow control problems.",NOCUOUS
138.0,space#19,The application software shall have the capability to reset a permanently failed channel to its initial recovery state.,NOCUOUS
139.0,space#20,Redundancy Management picks up where it left off in these attempts.,INNOCUOUS

